# Columns: ZIP/Location,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"Antiguo Cuscatlán::La Libertad::El Salvador",2.0,1,1129,13.6800,-89.2300,0,"Antiguo Cuscatlán",""
"Belmopan::Cayo::Belize",1.0,1,1039,17.2500,-88.7900,0,"Belmopan",""
"Guatemala::Guatemala::Guatemala",3.2,4,953,14.6300,-90.5500,0,"Guatemala",""
"Santa Catarina Pinula::Guatemala::Guatemala",2.3,7,961,14.5700,-90.5000,0,"Santa Catarina Pinula",""
"Melchor de Mencos::Petén::Guatemala",2.2,1,1005,17.0700,-89.1500,0,"Melchor de Mencos",""
"Antigua Guatemala::Sacatepéquez::Guatemala",2.0,2,939,14.5600,-90.7400,0,"Antigua Guatemala",""
"San Marcos::San Marcos::Guatemala",2.0,1,818,14.9600,-91.8000,0,"San Marcos",""
"Armenta::Cortés::Honduras",2.0,1,1163,15.5000,-88.0500,0,"Armenta",""
"Aguascalientes::Aguascalientes::Mexico",2.0,4,544,21.8800,-102.3000,0,"Aguascalientes",""
"Carmen::Campeche::Mexico",2.0,2,705,18.6300,-91.8300,0,"Carmen",""
"San Cristóbal de las Casas::Chiapas::Mexico",3.6,3,655,16.7500,-92.6300,0,"San Cristóbal de las Casas",""
"Tuxtla Gutiérrez::Chiapas::Mexico",4.1,5,606,16.7500,-93.1200,0,"Tuxtla Gutiérrez",""
"Juárez::Chihuahua::Mexico",1.0,1,1669,31.7400,-106.4900,0,"Juárez",""
"Lázaro Cárdenas::Chihuahua::Mexico",2.0,1,1310,28.3800,-105.6200,0,"Lázaro Cárdenas",""
"Colima::Colima::Mexico",2.7,7,559,19.2400,-103.7300,0,"Colima",""
"Coquimatlán::Colima::Mexico",3.1,1,565,19.2000,-103.8000,0,"Coquimatlán",""
"Cuauhtémoc::Colima::Mexico",2.2,1,548,19.3200,-103.6200,0,"Cuauhtémoc",""
"Manzanillo::Colima::Mexico",3.1,3,618,19.0500,-104.3200,0,"Manzanillo",""
"Mexico City::Distrito Federal::Mexico",6.7,638,128,19.4300,-99.1400,0,"Mexico City",""
"Durango::Durango::Mexico",1.0,1,883,24.0300,-104.6700,0,"Durango",""
"Lerdo::Durango::Mexico",1.0,1,932,25.5300,-103.5300,0,"Lerdo",""
"Santa María del Oro::Durango::Mexico",4.6,1,1082,25.9300,-105.3700,0,"Santa María del Oro",""
"Acámbaro::Guanajuato::Mexico",2.2,1,290,20.0300,-100.7300,0,"Acámbaro",""
"Allende::Guanajuato::Mexico",1.0,3,357,20.9200,-100.7600,0,"Allende",""
"Celaya::Guanajuato::Mexico",2.9,6,330,20.5200,-100.8200,0,"Celaya",""
"Cerro Gordo::Guanajuato::Mexico",2.0,1,359,20.5800,-101.1300,0,"Cerro Gordo",""
"Comonfort::Guanajuato::Mexico",3.3,1,342,20.7200,-100.7700,0,"Comonfort",""
"Guanajuato::Guanajuato::Mexico",1.0,1,402,21.0200,-101.2800,0,"Guanajuato",""
"Irapuato::Guanajuato::Mexico",2.0,5,385,20.6800,-101.3600,0,"Irapuato",""
"La Moncada::Guanajuato::Mexico",2.0,1,311,20.2700,-100.8000,0,"La Moncada",""
"León::Guanajuato::Mexico",3.9,6,441,21.1200,-101.6900,0,"León",""
"Medina::Guanajuato::Mexico",2.0,1,438,21.1500,-101.6200,0,"Medina",""
"Moroleón::Guanajuato::Mexico",5.3,1,337,20.1300,-101.2000,0,"Moroleón",""
"Salamanca::Guanajuato::Mexico",2.0,3,364,20.5700,-101.2000,0,"Salamanca",""
"Salvatierra::Guanajuato::Mexico",4.7,1,315,20.2200,-100.8800,0,"Salvatierra",""
"Acapulco::Guerrero::Mexico",4.2,9,246,16.8500,-99.9200,0,"Acapulco",""
"Chilpancingo::Guerrero::Mexico",4.5,1,162,17.5500,-99.5000,0,"Chilpancingo",""
"Iguala::Guerrero::Mexico",6.7,6,123,18.3700,-99.5400,0,"Iguala",""
"Ixtapa::Guerrero::Mexico",2.0,1,351,17.6700,-101.6500,0,"Ixtapa",""
"La Unión::Guerrero::Mexico",2.7,2,361,17.9700,-101.8200,0,"La Unión",""
"Olinalá::Guerrero::Mexico",7.3,1,102,17.8300,-98.8500,0,"Olinalá",""
"Quechultenango::Guerrero::Mexico",2.0,1,155,17.4200,-99.2200,0,"Quechultenango",""
"Taxco::Guerrero::Mexico",3.4,2,129,18.5700,-99.6200,0,"Taxco",""
"Zihuatanejo::Guerrero::Mexico",3.4,6,344,17.6300,-101.5700,0,"Zihuatanejo",""
"Acayuca::Hidalgo::Mexico",3.4,1,174,20.0300,-98.8300,0,"Acayuca",""
"Atitalaquía::Hidalgo::Mexico",2.0,1,191,20.0700,-99.2200,0,"Atitalaquía",""
"Atotonilco de Tula::Hidalgo::Mexico",3.1,1,184,20.0100,-99.2000,0,"Atotonilco de Tula",""
"El Llano::Hidalgo::Mexico",3.8,2,192,20.0500,-99.3000,0,"El Llano",""
"Emiliano Zapata::Hidalgo::Mexico",4.3,1,133,19.6700,-98.5300,0,"Emiliano Zapata",""
"Pachuca::Hidalgo::Mexico",4.0,10,182,20.1200,-98.7600,0,"Pachuca",""
"Pachuquilla::Hidalgo::Mexico",3.2,3,176,20.0700,-98.7000,0,"Pachuquilla",""
"Progreso::Hidalgo::Mexico",2.7,1,208,20.2500,-99.2000,0,"Progreso",""
"Sahagún::Hidalgo::Mexico",2.7,1,144,19.7700,-98.5800,0,"Sahagún",""
"Tepeji::Hidalgo::Mexico",4.6,1,181,19.9100,-99.3400,0,"Tepeji",""
"Tizayuca::Hidalgo::Mexico",4.1,1,158,19.8300,-98.9800,0,"Tizayuca",""
"Tolcayuca::Hidalgo::Mexico",4.2,1,168,19.9500,-98.9200,0,"Tolcayuca",""
"Tulancingo::Hidalgo::Mexico",3.4,3,177,20.0900,-98.3900,0,"Tulancingo",""
"Vindho::Hidalgo::Mexico",3.1,1,189,20.0000,-99.3200,0,"Vindho",""
"Ameca::Jalisco::Mexico",2.0,1,623,20.5500,-104.0300,0,"Ameca",""
"Coyula::Jalisco::Mexico",2.0,1,549,20.6500,-103.2200,0,"Coyula",""
"Cuitzeo::Jalisco::Mexico",2.0,1,493,20.3300,-102.7800,0,"Cuitzeo",""
"Guadalajara::Jalisco::Mexico",2.0,23,562,20.6700,-103.3500,0,"Guadalajara",""
"Las Pintas::Jalisco::Mexico",2.0,1,555,20.5700,-103.3200,0,"Las Pintas",""
"Nuevo México::Jalisco::Mexico",1.0,4,574,20.7500,-103.4300,0,"Nuevo México",""
"Ocotlán::Jalisco::Mexico",2.5,1,494,20.3700,-102.7700,0,"Ocotlán",""
"Puerto Vallarta::Jalisco::Mexico",2.0,3,744,20.6200,-105.2300,0,"Puerto Vallarta",""
"San Patricio::Jalisco::Mexico",2.0,1,659,19.2200,-104.7000,0,"San Patricio",""
"Santa Anita::Jalisco::Mexico",2.0,5,569,20.5500,-103.4700,0,"Santa Anita",""
"Tamazula::Jalisco::Mexico",2.0,1,516,19.6300,-103.2500,0,"Tamazula",""
"Tepatitlán::Jalisco::Mexico",2.0,3,512,20.8200,-102.7300,0,"Tepatitlán",""
"Tlaquepaque::Jalisco::Mexico",2.0,2,558,20.6400,-103.3200,0,"Tlaquepaque",""
"Zapopan::Jalisco::Mexico",2.0,8,569,20.7200,-103.4000,0,"Zapopan",""
"Apatzingán::Michoacán::Mexico",3.4,1,413,19.0800,-102.3500,0,"Apatzingán",""
"Coalcomán::Michoacán::Mexico",2.7,1,494,18.7800,-103.1500,0,"Coalcomán",""
"Comachuén::Michoacán::Mexico",1.0,1,380,19.6200,-101.9000,0,"Comachuén",""
"Lázaro Cárdenas::Michoacán::Mexico",3.1,1,398,17.9500,-102.1800,0,"Lázaro Cárdenas",""
"Morelia::Michoacán::Mexico",3.6,28,314,19.7200,-101.1800,0,"Morelia",""
"Sahuayo::Michoacán::Mexico",3.1,1,477,20.0700,-102.7200,0,"Sahuayo",""
"San Lucas::Michoacán::Mexico",4.3,1,246,18.5700,-100.7800,0,"San Lucas",""
"Santa Clara del Cobre::Michoacán::Mexico",3.1,1,349,19.4100,-101.6500,0,"Santa Clara del Cobre",""
"Tangancicuaro::Michoacán::Mexico",2.0,1,413,19.9000,-102.1300,0,"Tangancicuaro",""
"Uruapan::Michoacán::Mexico",3.9,8,391,19.4200,-102.0700,0,"Uruapan",""
"Zamora::Michoacán::Mexico",3.8,1,430,19.9800,-102.2700,0,"Zamora",""
"Zinapécuaro::Michoacán::Mexico",1.0,1,289,19.8700,-100.8200,0,"Zinapécuaro",""
"Atlatlahucan::Morelos::Mexico",6.9,2,78,18.9300,-98.9000,0,"Atlatlahucan",""
"Axochiapan::Morelos::Mexico",8.1,1,57,18.5000,-98.7300,0,"Axochiapan",""
"Ayala::Morelos::Mexico",5.6,1,75,18.7500,-98.9800,0,"Ayala",""
"Cocoyoc::Morelos::Mexico",8.1,1,80,18.8700,-98.9800,0,"Cocoyoc",""
"Cuautla::Morelos::Mexico",7.4,5,76,18.8200,-98.9600,0,"Cuautla",""
"Cuernavaca::Morelos::Mexico",6.9,51,102,18.9200,-99.2500,0,"Cuernavaca",""
"Emiliano Zapata::Morelos::Mexico",8.6,2,93,18.8300,-99.1800,0,"Emiliano Zapata",""
"Huiztilac::Morelos::Mexico",6.8,2,110,19.0400,-99.2700,0,"Huiztilac",""
"Jiutepec::Morelos::Mexico",7.2,8,95,18.8700,-99.1800,0,"Jiutepec",""
"Jojutla::Morelos::Mexico",2.0,3,88,18.6200,-99.1800,0,"Jojutla",""
"Temixco::Morelos::Mexico",6.9,6,98,18.8500,-99.2300,0,"Temixco",""
"Tepoztlán::Morelos::Mexico",7.0,7,94,18.9800,-99.1000,0,"Tepoztlán",""
"Tlacotepec::Morelos::Mexico",9.1,1,64,18.8200,-98.7500,0,"Tlacotepec",""
"Tlayacapan::Morelos::Mexico",8.3,1,83,18.9300,-98.9800,0,"Tlayacapan",""
"Tres Marías::Morelos::Mexico",7.3,1,108,19.0500,-99.2400,0,"Tres Marías",""
"Xochitepec::Morelos::Mexico",7.9,1,96,18.7800,-99.2300,0,"Xochitepec",""
"Acuautla::México::Mexico",5.4,1,106,19.3300,-98.8500,0,"Acuautla",""
"Atenco (San Mateo)::México::Mexico",7.2,1,144,19.2600,-99.5400,0,"Atenco (San Mateo)",""
"Atizapán::México::Mexico",5.9,2,144,19.2500,-99.5500,0,"Atizapán",""
"Buenavista::México::Mexico",6.4,11,134,19.5500,-99.0500,0,"Buenavista",""
"Calimaya::México::Mexico",2.0,1,145,19.1600,-99.6200,0,"Calimaya",""
"Chiautla::México::Mexico",4.7,1,126,19.5300,-98.8800,0,"Chiautla",""
"Chicoloapan::México::Mexico",4.7,1,116,19.4100,-98.9200,0,"Chicoloapan",""
"Chiconautla::México::Mexico",5.9,3,139,19.6200,-99.0100,0,"Chiconautla",""
"Chiconcuac::México::Mexico",6.7,1,128,19.5500,-98.9000,0,"Chiconcuac",""
"Chimalhuacán::México::Mexico",7.0,4,120,19.4400,-98.9600,0,"Chimalhuacán",""
"Chimalpa::México::Mexico",8.1,1,141,19.4300,-99.3500,0,"Chimalpa",""
"Cholula::México::Mexico",4.9,1,140,19.2700,-99.4800,0,"Cholula",""
"Coacalco::México::Mexico",5.7,3,144,19.6300,-99.1100,0,"Coacalco",""
"Coatepec (San Bartolomé Coatepec)::México::Mexico",6.6,138,136,19.3900,-99.3100,0,"Coatepec (San Bartolomé Coatepec)",""
"Cuautitlán::México::Mexico",5.0,9,151,19.6700,-99.1800,0,"Cuautitlán",""
"Cuautitlán Izcalli::México::Mexico",5.7,9,153,19.6500,-99.2500,0,"Cuautitlán Izcalli",""
"Ecatepec::México::Mexico",5.6,4,139,19.6000,-99.0500,0,"Ecatepec",""
"Huehuetoca::México::Mexico",3.4,2,169,19.8500,-99.2000,0,"Huehuetoca",""
"Huixquilucan::México::Mexico",6.0,2,136,19.3600,-99.3500,0,"Huixquilucan",""
"Ixlahuaca::México::Mexico",2.0,1,232,20.4800,-99.2200,0,"Ixlahuaca",""
"Jilotzingo (Santa Ana Jilotzingo)::México::Mexico",8.2,1,153,19.5400,-99.4000,0,"Jilotzingo (Santa Ana Jilotzingo)",""
"Juchitepec::México::Mexico",7.9,1,88,19.1000,-98.8800,0,"Juchitepec",""
"Lerma::México::Mexico",6.6,3,144,19.2900,-99.5200,0,"Lerma",""
"Los Reyes::México::Mexico",7.1,8,114,19.3600,-98.9800,0,"Los Reyes",""
"López Mateos::México::Mexico",5.7,19,147,19.5700,-99.2600,0,"López Mateos",""
"Malinalco::México::Mexico",7.5,1,125,18.9500,-99.5000,0,"Malinalco",""
"Metepec::México::Mexico",6.0,15,151,19.2700,-99.6200,0,"Metepec",""
"Montecillo::México::Mexico",7.5,3,119,19.4500,-98.9000,0,"Montecillo",""
"Naucalpan::México::Mexico",6.2,95,138,19.4800,-99.2300,0,"Naucalpan",""
"Nezahualcóyotl::México::Mexico",7.0,51,121,19.4100,-99.0300,0,"Nezahualcóyotl",""
"Oyamel::México::Mexico",6.0,1,158,19.4300,-99.5800,0,"Oyamel",""
"San Buenaventura::México::Mexico",4.8,1,158,19.2700,-99.7000,0,"San Buenaventura",""
"San Felipe del Progreso::México::Mexico",5.2,1,205,19.7100,-99.9500,0,"San Felipe del Progreso",""
"San Pablo de las Salinas::México::Mexico",4.8,5,148,19.6700,-99.1000,0,"San Pablo de las Salinas",""
"San Pedro el Alto::México::Mexico",5.9,1,196,19.6100,-99.9100,0,"San Pedro el Alto",""
"Santo Domingo de Guzmán::México::Mexico",4.6,2,183,19.5900,-99.7700,0,"Santo Domingo de Guzmán",""
"Tecámac::México::Mexico",4.8,2,148,19.7300,-98.9700,0,"Tecámac",""
"Tejupilco::México::Mexico",4.7,4,185,18.9000,-100.1500,0,"Tejupilco",""
"Temascalapa::México::Mexico",6.1,1,156,19.8300,-98.9000,0,"Temascalapa",""
"Tepetlaoxtoc::México::Mexico",2.0,1,129,19.5800,-98.8200,0,"Tepetlaoxtoc",""
"Tepexpan (Santa Cruz)::México::Mexico",7.2,1,177,19.5700,-99.7000,0,"Tepexpan (Santa Cruz)",""
"Tepotzotlán::México::Mexico",5.0,4,157,19.7100,-99.2200,0,"Tepotzotlán",""
"Texcoco::México::Mexico",6.6,2,125,19.5200,-98.8800,0,"Texcoco",""
"Teyahualco::México::Mexico",6.6,2,148,19.6600,-99.1300,0,"Teyahualco",""
"Tlalnepantla::México::Mexico",6.0,47,140,19.5400,-99.1900,0,"Tlalnepantla",""
"Toluca::México::Mexico",5.2,19,156,19.2900,-99.6700,0,"Toluca",""
"Tonanitla::México::Mexico",4.7,1,148,19.6900,-99.0600,0,"Tonanitla",""
"Totocuitlapilco::México::Mexico",2.0,1,145,19.2300,-99.5800,0,"Totocuitlapilco",""
"Totoltepec::México::Mexico",6.4,7,150,19.3100,-99.5800,0,"Totoltepec",""
"Tultitlán::México::Mexico",5.9,7,149,19.6500,-99.1700,0,"Tultitlán",""
"Valle de Bravo::México::Mexico",5.5,6,192,19.1800,-100.1300,0,"Valle de Bravo",""
"Vista Hermosa::México::Mexico",5.9,32,140,19.5200,-99.2200,0,"Vista Hermosa",""
"Xico::México::Mexico",6.6,9,105,19.2700,-98.9400,0,"Xico",""
"Zacamulpa::México::Mexico",6.4,36,135,19.3600,-99.3300,0,"Zacamulpa",""
"Bucerías::Nayarit::Mexico",2.0,1,758,20.7500,-105.3300,0,"Bucerías",""
"San Juan de Abajo::Nayarit::Mexico",2.0,1,749,20.8200,-105.2100,0,"San Juan de Abajo",""
"Ciénaga de Flores::Nuevo León::Mexico",1.0,1,838,25.9500,-100.1800,0,"Ciénaga de Flores",""
"Garza García::Nuevo León::Mexico",1.0,1,812,25.6600,-100.3800,0,"Garza García",""
"Guadalupe::Nuevo León::Mexico",1.0,1,811,25.6800,-100.2600,0,"Guadalupe",""
"Monterrey::Nuevo León::Mexico",1.0,4,811,25.6700,-100.3200,0,"Monterrey",""
"San Nicolás de los Garza::Nuevo León::Mexico",1.0,4,819,25.7500,-100.3000,0,"San Nicolás de los Garza",""
"Santa Catarina::Nuevo León::Mexico",1.0,1,815,25.6700,-100.4700,0,"Santa Catarina",""
"Acatlán::Oaxaca::Mexico",4.3,1,204,18.5300,-96.6200,0,"Acatlán",""
"Amatlán::Oaxaca::Mexico",3.8,1,336,16.3200,-96.4000,0,"Amatlán",""
"Huatulco::Oaxaca::Mexico",2.5,4,381,15.8500,-96.3200,0,"Huatulco",""
"Huayapam::Oaxaca::Mexico",5.0,1,256,17.1000,-96.6700,0,"Huayapam",""
"Juxtlahuaca::Oaxaca::Mexico",6.8,1,153,17.3300,-98.0200,0,"Juxtlahuaca",""
"Matatlán::Oaxaca::Mexico",5.4,1,296,16.8700,-96.3800,0,"Matatlán",""
"Mitla::Oaxaca::Mexico",2.7,2,291,16.9200,-96.4000,0,"Mitla",""
"Oaxaca::Oaxaca::Mexico",4.7,24,254,17.0700,-96.7200,0,"Oaxaca",""
"Pochutla::Oaxaca::Mexico",3.4,2,383,15.7300,-96.4700,0,"Pochutla",""
"Puerto Escondido::Oaxaca::Mexico",4.1,8,339,15.8500,-97.0700,0,"Puerto Escondido",""
"Putla::Oaxaca::Mexico",3.4,1,186,17.0300,-97.9300,0,"Putla",""
"Salina Cruz::Oaxaca::Mexico",3.6,2,441,16.1700,-95.2000,0,"Salina Cruz",""
"Santa Lucía del Camino::Oaxaca::Mexico",5.4,4,256,17.0500,-96.7200,0,"Santa Lucía del Camino",""
"Santa María del Tule::Oaxaca::Mexico",4.1,1,265,17.0300,-96.6200,0,"Santa María del Tule",""
