,Network,Station,Channel,Location,Distance,Azimuth,Phase,ArrivalTime,Status,Residual,WeightGI RETA HHZ --,2.0272,105.19,Pn,2017-09-08T04:49:53.1Z,manual,-0.2,0
0,GI HUEH HHZ --,2.1505900000000002,83.0634,.,2017-09-08T04:49:57.32Z,manual,2.1,0.0,,,,,,,,,,
1,GI PETF HHZ --,4.13226,63.0709,XX,2017-09-08T04:50:23.36Z,manual,1.4,0.0,,,,,,,,,,
2,GI CHIE HHZ --,4.26002,96.2444,XX,2017-09-08T04:50:24.76Z,manual,1.0,0.0,,,,,,,,,,
3,SV MTO3 HHZ --,4.26511,98.4114,.,2017-09-08T04:50:24.49Z,manual,0.5,0.0,,,,,,,,,,
4,SV SNET BHZ --,4.556430000000001,106.97,Pn,2017-09-08T04:50:28.48Z,manual,0.7,0.0,,,,,,,,,,
5,GI IZAB HHZ --,4.992290000000001,81.7454,Pn,2017-09-08T04:50:34.69Z,manual,1.0,0.0,,,,,,,,,,
6,CU TGUH BHZ 00,6.3178,98.3312,Pn,2017-09-08T04:50:55.24Z,manual,3.4,0.0,,,,,,,,,,
7,G UNM BHZ 00,6.7241,309.845,Pn,2017-09-08T04:50:57.25Z,manual,-0.2,0.0,,,,,,,,,,
8,NU CRIN HHZ --,6.88807,109.19,Pn,2017-09-08T04:51:00.62Z,manual,1.1,0.0,,,,,,,,,,
9,NU CNGN HHZ --,7.27838,109.665,Pn,2017-09-08T04:51:03.99Z,manual,-0.8,0.0,,,,,,,,,,
10,IU TEIG BHZ 00,7.29305,44.515,Pn,2017-09-08T04:51:05.17Z,manual,0.2,0.0,,,,,,,,,,
11,NU MATN HHZ --,7.85332,104.73200000000001,Pn,2017-09-08T04:51:12.87Z,manual,0.2,0.0,,,,,,,,,,
12,GE BOAB BHZ --,8.241769999999999,107.419,Pn,2017-09-08T04:51:19.6Z,manual,1.6,0.0,,,,,,,,,,
13,N4 146B BHZ --,17.9969,12.8087,P,2017-09-08T04:53:25.77Z,manual,-0.2,0.0,,,,,,,,,,
14,TX SGCY HHZ 00,18.0836,339.31,P,2017-09-08T04:53:25.56Z,manual,-1.4,0.61,,,,,,,,,,
15,AG Z41A HHZ 00,18.1289,2.45585,P,2017-09-08T04:53:27.37Z,manual,0.0,0.62,,,,,,,,,,
16,N4 Z38B BHZ --,18.1488,356.582,P,2017-09-08T04:53:27.72Z,manual,0.1,0.62,,,,,,,,,,
17,N4 250A BHZ --,18.1538,20.6985,P,2017-09-08T04:53:26.48Z,manual,-1.2,0.62,,,,,,,,,,
18,ZW AZDA EHZ 01,18.164,349.598,P,2017-09-08T04:53:28.26Z,manual,0.5,0.62,,,,,,,,,,
19,TX FW06 HHZ 00,18.1641,349.594,P,2017-09-08T04:53:28.79Z,manual,1.0,0.62,,,,,,,,,,
20,N4 352A BHZ --,18.2065,24.6867,P,2017-09-08T04:53:27.94Z,manual,-0.3,0.62,,,,,,,,,,
21,TA ABTX BHZ --,18.2912,343.881,P,2017-09-08T04:53:28.59Z,manual,-0.6,0.62,,,,,,,,,,
22,TX FW03 HHZ 00,18.3234,348.31,P,2017-09-08T04:53:29.45Z,manual,-0.1,0.62,,,,,,,,,,
23,CU GTBY BHZ 00,18.3866,72.0865,P,2017-09-08T04:53:30.37Z,manual,0.2,0.62,,,,,,,,,,
24,N4 Z35B BHZ --,18.4639,350.61400000000003,P,2017-09-08T04:53:30.85Z,manual,-0.2,0.62,,,,,,,,,,
25,AG WLAR HHZ 00,18.5472,1.5803399999999999,P,2017-09-08T04:53:31.85Z,manual,-0.1,0.62,,,,,,,,,,
26,TX PECS HHZ 00,18.6985,331.955,P,2017-09-08T04:53:33.78Z,manual,0.1,0.63,,,,,,,,,,
27,TA TIGA BHZ --,18.7442,27.8721,P,2017-09-08T04:53:34.27Z,manual,0.2,0.63,,,,,,,,,,
28,TX VHRN HHZ 00,18.7529,328.464,P,2017-09-08T04:53:34.04Z,manual,-0.3,0.63,,,,,,,,,,
29,N4 Z47B BHZ --,18.7642,14.8529,P,2017-09-08T04:53:33.7Z,manual,-0.6,0.63,,,,,,,,,,
30,NM UALR BHZ --,19.6624,3.35742,P,2017-09-08T04:53:43.51Z,manual,-0.6,0.65,,,,,,,,,,
31,US OXF BHZ 00,19.7463,10.571,P,2017-09-08T04:53:45.13Z,manual,0.1,0.65,,,,,,,,,,
32,OK FNO HHZ 01,20.3756,351.311,P,2017-09-08T04:53:51.17Z,manual,-0.7,0.66,,,,,,,,,,
33,NM PLAL BHZ 00,20.469,13.3369,P,2017-09-08T04:53:53.56Z,manual,0.7,0.66,,,,,,,,,,
34,OK MOOR HHZ --,20.4972,350.76099999999997,P,2017-09-08T04:53:52.6Z,manual,-0.6,0.66,,,,,,,,,,
35,OK SWND HHZ --,20.5264,351.30199999999996,P,2017-09-08T04:53:52.93Z,manual,-0.6,0.66,,,,,,,,,,
36,CN PAPH HHZ --,20.7856,77.4763,P,2017-09-08T04:53:57.62Z,manual,1.4,0.67,,,,,,,,,,
37,IU OTAV BHZ 10,21.0878,132.957,P,2017-09-08T04:54:01.14Z,manual,1.2,0.68,,,,,,,,,,
38,MX HSIG BHZ --,21.1262,313.962,P,2017-09-08T04:54:00.99Z,manual,1.1,0.68,,,,,,,,,,
39,IU WVT BHZ 10,21.6253,13.0124,P,2017-09-08T04:54:05.48Z,manual,0.2,0.69,,,,,,,,,,
40,CU SDDR BHZ 00,21.7901,76.5265,P,2017-09-08T04:54:07.57Z,manual,0.5,0.69,,,,,,,,,,
41,NM MGMO BHZ --,22.035,3.08015,P,2017-09-08T04:54:09.97Z,manual,0.3,0.7,,,,,,,,,,
42,IU ANMO BHZ 10,22.8725,332.223,P,2017-09-08T04:54:17.74Z,automatic,-0.9,0.72,,,,,,,,,,
43,IU CCM BHZ 10,23.0017,4.99379,P,2017-09-08T04:54:17.02Z,automatic,-2.8,0.72,,,,,,,,,,
44,IU TUC BHZ 10,23.158,320.812,P,2017-09-08T04:54:21.34Z,automatic,-0.1,0.72,,,,,,,,,,
45,IU SDV BHZ 10,23.3882,102.586,P,2017-09-08T04:54:22.27Z,automatic,-1.3,0.73,,,,,,,,,,
46,IU WCI BHZ 10,23.9852,14.4864,P,2017-09-08T04:54:26.59Z,automatic,-2.2,0.75,,,,,,,,,,
47,WC HATO HHZ --,24.2266,93.7324,P,2017-09-08T04:54:31.91Z,automatic,0.9,0.75,,,,,,,,,,
48,CI BLY BHZ --,26.4584,318.384,P,2017-09-08T04:54:51.32Z,automatic,0.1,0.81,,,,,,,,,,
49,IU SJG BHZ 10,26.5798,79.5937,P,2017-09-08T04:54:50.97Z,automatic,-1.4,0.81,,,,,,,,,,
50,II PFO BHZ 10,27.642,315.96299999999997,P,2017-09-08T04:55:02.12Z,automatic,0.1,0.82,,,,,,,,,,
51,IU SSPA BHZ 10,28.9661,25.3671,P,2017-09-08T04:55:12.17Z,automatic,-1.5,0.83,,,,,,,,,,
